time,user,tweet
2022-06-06 22:52:00+00:00,AccionNacional,"¡Lo hicimos, Durango! El municipio sigue pintándose de azul y @josejoseantonio trabajará incansablemente por un gobierno cercano a la gente, que continúe dando resultados y mejore la calidad de vida de las familias👏🏼 https://t.co/XEYD1XdXQr"
2022-06-06 17:01:25+00:00,AccionNacional,"¡Ganamos Durango con @EVillegasV!

Gracias a las y los duranguenses por su confianza, trabajaremos juntos para que continúen los buenos resultados y el crecimiento en el estado.

#EstebanGobernador https://t.co/j5HikIlkMv"
2022-06-06 15:01:41+00:00,AccionNacional,"¡Muchas felicidades @TereJimenezE por tu triunfo contundente! Eres un orgullo para todo el panismo y estamos seguros te convertirás en la mejor gobernadora de Aguascalientes.

#TereGobernadora https://t.co/5kuBaOMfWE"
2022-06-06 14:06:27+00:00,AccionNacional,"RT @TereJimenezE: ¡Hoy ganaron las propuestas y la unidad! ¡Hoy ganó Aguascalientes!

¡GRACIAS! https://t.co/NzYv7dsqYb"
2022-06-06 14:06:15+00:00,AccionNacional,"RT @EVillegasV: ¡Durango ganó con valor! Simplemente, ¡gracias a las y los duranguenses que me han otorgado su confianza! Hoy comienza el g…"
2022-06-06 14:05:55+00:00,AccionNacional,"RT @josejoseantonio: Con la reserva de los resultados oficiales, todas las encuestas de salida nos marcan como ganadores de la contienda. ¡…"
2022-06-06 03:15:10+00:00,AccionNacional,"Lamentamos profundamente el fallecimiento de nuestra diputada federal Alma Rosa Hernández Escobar. Nuestro más sentido pésame y un fuerte abrazo a sus seres queridos.

Descanse en paz. https://t.co/PbfrM8fEJd"
2022-06-06 01:41:35+00:00,AccionNacional,"¡Ganamos contundentemente Aguascalientes y Durango, y vamos arriba en Tamaulipas!

Hoy queda claro que vamos en el camino correcto, seguimos avanzando y #SíHayTiro2024. https://t.co/lgDGvyVZ93"
2022-06-06 00:25:24+00:00,AccionNacional,"RT @JorgeRoHe: Hoy las y los ciudadanos dieron su confianza a los buenos gobiernos de @AccionNacional

¡Vencimos el intento fallido de elec…"
2022-06-06 00:25:21+00:00,AccionNacional,"RT @MarkoCortes: Hoy quedó claro que a pesar de toda la ilegalidad y autoritarismo del Gobierno federal y Morena, avanzamos para en el 2024…"
2022-06-05 19:14:29+00:00,AccionNacional,"RT @TrucoVerastegui: Ejercí mi derecho al voto, cumpliendo con el deber que tenemos como ciudadanos para ser parte de la toma de decisiones…"
2022-06-05 18:27:58+00:00,AccionNacional,"RT @TereJimenezE: Acudí de manera responsable a emitir mi voto para la Gubernatura de Aguascalientes. 

Como ciudadanos es nuestro derecho…"
2022-06-05 18:27:50+00:00,AccionNacional,RT @LauFdzOficial: Con mucha alegría y en familia salimos a ejercer nuestro derecho al voto 🗳️ pensando en el futuro de #QuintanaRoo. Hoy e…
2022-06-05 18:27:27+00:00,AccionNacional,"RT @caroviggiano: La de hoy debe ser una jornada cívica ejemplar, una verdadera fiesta democrática en la que las y los hidalguenses ejerzam…"
2022-06-05 18:27:10+00:00,AccionNacional,"RT @josejoseantonio: Acudí a ejercer mi derecho ciudadano de votar. Ustedes tampoco dejen pasar la oportunidad de participar, votando de ma…"
2022-06-05 15:57:28+00:00,AccionNacional,"RT @EVillegasV: ¡Yo ya ejercí mi derecho a votar como ciudadano! 👍🏻 De la misma forma, los invito a que salgan a hacerlo con responsabilida…"
2022-06-05 04:49:00+00:00,AccionNacional,Le exigimos al gobierno federal y al gobernador de Michoacán @ARBedolla que no intervengan en las elecciones de Aguascalientes; que atienda mejor los graves temas de seguridad en su estado en lugar de encabezar “mapaches” electorales. @GobMichoacan https://t.co/dSvCwMj738
2022-06-03 19:33:56+00:00,AccionNacional,"Condenamos las revelaciones del ex titular de la Unidad de Inteligencia Financiera, que dejan en evidencia que el gobierno de @lopezobrador_ usó y abusó de las instituciones del Estado para amedrentar y perseguir al gobernador de Tamaulipas. https://t.co/TMkRfd2QBv"
2022-06-03 18:35:44+00:00,AccionNacional,"Hoy se cumplen 100 días de la invasión de Rusia a Ucrania, y a pesar de que la comunidad internacional ha reaccionado, el sufrimiento del pueblo ucraniano tiene que acabar.

Desde @AccionNacional seguimos manifestando toda nuestra solidaridad a Ucrania y su gente.

#SlavaUkraini"
2022-06-02 05:23:52+00:00,AccionNacional,"RT @TereJimenezE: ¡¡Gracias Aguascalientes!!

#TereJiménez 
#TereGobernadora 
#LoQueTantoQueremos https://t.co/EEtbuHargP"
2022-06-02 05:22:54+00:00,AccionNacional,"RT @TrucoVerastegui: Hoy es el último día de campaña, gracias por acompañarme durante estos 60 días. Nos quedan 4 días para que votemos con…"
2022-06-02 05:21:22+00:00,AccionNacional,RT @EVillegasV: Quiero que todo Durango sienta el orgullo por su tierra y por quienes aquí vivimos. No me queda más que agradecer a todos y…
2022-06-02 05:20:15+00:00,AccionNacional,RT @LauFdzOficial: Durante 60 días hemos hecho una campaña valiente y de cerca con cada uno de ustedes. Gracias por tanto cariño y respaldo…
2022-06-02 05:17:26+00:00,AccionNacional,RT @caroviggiano: 60 días para sembrar la semilla de un #HidALGOMUCHOMEJOR. Y este domingo 5 de junio vamos a hacer posible 6 años de traba…
2022-06-02 04:22:13+00:00,AccionNacional,"RT @MarkoCortes: ¡Estamos listos para la batalla del 5 de junio!

Tenemos a las y los mejores candidatos, un proyecto que sí da resultados,…"
2022-06-02 03:15:00+00:00,AccionNacional,"Tenemos proyecto, tenemos equipo, y a las y los mejores candidatos.

Este 5 de junio, ¡vamos a ganar!

#VotaPAN https://t.co/fE67zEKQQM"
2022-06-02 03:08:44+00:00,AccionNacional,"RT @STaboadaMx: ¡En @AccionNacional vamos juntos con el próximo gobernador de #Tamaulipas, @TrucoVerastegui! ¡En equipo @kenialopezr, @Lill…"
2022-06-02 03:08:17+00:00,AccionNacional,"RT @sarainunezceron: Este próximo 5 de junio #DefendamosAMéxico en #Aguascalientes, #Tamaulipas, #Hidalgo, #QuintanaRoo, #Oaxaca y #Durango…"
2022-06-02 03:08:10+00:00,AccionNacional,"RT @AbnerBorjaF: Nos queda la batalla final, el 5 de junio es cuando debemos salir todos a votar y elegir la mejor opción, elegir al Partid…"
2022-06-02 03:07:25+00:00,AccionNacional,"RT @maguifisher: Tenemos a los mejores candidatos y propuestas, con entusiasmo y alegría este 5 de junio #VotaPAN 
 
@TereJimenezE
@TrucoVe…"
2022-06-02 03:07:08+00:00,AccionNacional,"RT @marianagc: Este 5 de junio vota por las candidatas y los candidatos de @AccionNacional 

💙 #VotaPAN 

@TereJimenezE @EVillegasV @carovi…"
2022-06-02 03:06:58+00:00,AccionNacional,RT @PaulinaRubioFdz: MÉXICO nos necesita y necesita tu voto este domingo #VotaPAN. Con hechos siempre hemos demostrado que los gobiernos de…
2022-06-02 03:06:39+00:00,AccionNacional,"RT @AnabeyGarciaV: Este 5 de Junio #VotaPAN 💙
#UnidosDefendemosaMéxico 💪 https://t.co/d65CLPOiVn"
2022-06-02 02:45:16+00:00,AccionNacional,"RT @LuisCantuMx: Este gran cierre de campaña en #Tampico demuestra que el 5 de junio, @TrucoVerastegui ganará porque tiene las mejores prop…"
2022-06-02 02:45:07+00:00,AccionNacional,"RT @CarlosMadrazoL: Por una Patria ordenada y generosa y una vida mejor y más digna para todos, este domingo:

#VotaPAN! 🔵⚪️ https://t.co/0…"
2022-06-02 02:44:40+00:00,AccionNacional,"RT @teresacastellmx: Fuera los NARCOMORENOS, los mexicanos no abrazamos delincuentes!!

#SalAVotar 
#SalvaAMéxico 
#VotaPAN https://t.co/sJ…"
