time,user,tweet
2022-06-03 23:00:04+00:00,MovCiudadanoMX,Día 164. #DelRíoPresoPolítico https://t.co/O7aZTOArNQ
2022-06-03 20:00:04+00:00,MovCiudadanoMX,"¡Ey! Muévete en bici. 🚲👍

Es buena para ti y el planeta. ¡Usar bici está cool! 🙌

#DíaMundialDeLaBicicleta https://t.co/HtSCzBOJEJ"
2022-06-03 17:01:24+00:00,MovCiudadanoMX,"Amix, es el día de mi transporte favorito y fiel compañera de aventuras por la ciudad, la bici. ❤️🚲

Celebramos el #DíaMundialDeLaBicicleta por su aporte para hacer ciudades más humanas. https://t.co/PF3ME1ZvdU"
2022-06-03 14:35:56+00:00,MovCiudadanoMX,"👉 Tú + yo 👈 paseando en bici 🚲 por la ciudad; ni le pienses porque ahora que se aprobó la Ley de Movilidad Segura vamos a disfrutar más de dar el rol. ☺️

#DíaMundialDeLaBicicleta https://t.co/c1wMMegOJF"
2022-06-03 02:30:02+00:00,MovCiudadanoMX,Día 163. #DelRíoPresoPolítico https://t.co/NyBzDncz0Y
2022-06-03 01:00:01+00:00,MovCiudadanoMX,"¡Notición, hermanas! 💚 La marea verde llegó a Baja California Sur. Cada vez más estados reconocen el derecho de las mujeres a decidir sobre nuestro cuerpo. Pronto será ley en todo el país. 🙌

#EsLeyBCS 
#DerechoADecidir 
https://t.co/KiXD3jScoN"
2022-06-02 23:39:31+00:00,MovCiudadanoMX,"Junto a Angélica Jasso de @jovenes_trabajo, 
 Patricia Santamaría de @ollinorg; @Rocordera, @Daylin_GR  García y @Pablo_VAh, nos echamos una platicadita sobre los retos de la juventud en 🇲🇽 .

Pásele a escuchar #PalabrasEnMovimiento.

🔊: https://t.co/TfTstfH12W"
2022-06-02 23:39:30+00:00,MovCiudadanoMX,"Oye, ¿te da amsiedad por tu futuro? 🙃😔

Sabemos que hay incertidumbre por el medio ambiente, falta de empleos, vivienda o un retiro para la vejez, problemas a los que nos enfrentamos las y los jóvenes.

🔊: https://t.co/TfTstfH12W

De esto hablamos en #PalabrasEnMovimiento. https://t.co/xZtkAmnwEZ"
2022-06-02 20:00:04+00:00,MovCiudadanoMX,Sonríe para la foto si también te gusta cuidar del medio ambiente. 😁🌱 https://t.co/RMQPWf0TnD
2022-06-02 17:00:01+00:00,MovCiudadanoMX,"¡Wow! Eso y más es lo que le aportan las abejitas al planeta. Cuidémoslas porque ellas hacen posible nuestra existencia. 😊🐝

#SinAbejasNoHayVida https://t.co/GTlY4eGXCq"
2022-06-02 14:39:18+00:00,MovCiudadanoMX,"Un bañito así bien relax y a darlo todo este día. 

Que sea un gran jueves, gente bonita. ☺️🧡 https://t.co/S0osCMmSy4"
2022-06-02 04:58:52+00:00,MovCiudadanoMX,"Este 5 de junio, sí hay una alternativa para el presente y futuro que mereces. 😎🙌

Vota por el Movimiento de la esperanza, vota naranja. 🍊"
2022-06-02 04:58:14+00:00,MovCiudadanoMX,"¡Cántale a Hidalgo que tu voto será naranja! Con @FcoXavierB llegará un mejor futuro para todas y todos. Es posible un cambio en el estado, vota este 5 de junio y súbele al Movimiento Naranja. 🍊♫ https://t.co/tdqIjHK7v8"
2022-06-02 04:38:42+00:00,MovCiudadanoMX,"#Durango, ganas tú y ganan tus causas si le entras con @Paty_FloresE: la verdadera alternativa. ¡Rompe #SinMiedo con el pasado y vota naranja! 🧡 https://t.co/r2gxhUYkXw"
2022-06-02 04:27:05+00:00,MovCiudadanoMX,"Yuawi bien contento cantando la del na na na na na. 🧡
Así de feliz es el gobierno que le espera a #QuintanaRoo con el @DrJLPech, de eso no tengas duda. 😄🧡

¡Entonces qué Pech! Elige un Gobierno decente, vota por Pech. https://t.co/pGBfYbYMNI"
2022-06-02 03:45:01+00:00,MovCiudadanoMX,"Claro que sí, este 5 de junio éntrale #SinMiedo y vota por @Paty_FloresE para darle futuro a #Durango. 

Vota alegre, vota #SinMiedoDurango. 💪🧡 https://t.co/W4mgxdOgR6"
2022-06-02 03:30:01+00:00,MovCiudadanoMX,Ya es momento de tener un TamauliPAZ. Este 5 de junio vota naranja y elige #ComenzarDeCero con @Arturo10Gtz para para darle un Gobierno entrón a #Tamaulipas. 🤠🍊  https://t.co/ReuXJ5jysr
2022-06-02 03:16:33+00:00,MovCiudadanoMX,"En este Movimiento andamos bien felices porque el próximo 5 de junio estaremos celebrando que #ElFuturoEsNaranja. 😁🧡✨

Vota alegre, vota naranja, vota por las y los candidatos de Movimiento Ciudadano. https://t.co/Z2ctgnzgEU"
2022-06-02 01:00:01+00:00,MovCiudadanoMX,Día 162. #DelRíoPresoPolítico https://t.co/fE9YvavlRP
2022-06-02 00:59:55+00:00,MovCiudadanoMX,"Mientras el presupuesto de la Guardia Nacional creció 70 %, la seguridad pública local recibe 63 % menos que en 2016.

¿Cómo combatir la inseguridad sin recursos?

Descúbrelo en #PalabrasEnMovimiento, con @dgtagle, Adriana y @Pablo_VAh.

https://t.co/qUSh2FoiRv https://t.co/MFXoBFtLoA"
2022-06-01 23:30:01+00:00,MovCiudadanoMX,"Movimiento Ciudadano ya está en Jalisco y Nuevo León, ahora vamos por un mejor futuro en #Tamaulipas con @Arturo10Gtz. 🤠🍊

Este 5 de junio, ponte en Movimiento y vota por Arturo para #ComenzarDeCero. https://t.co/mQyXzFVRYG"
2022-06-01 21:30:02+00:00,MovCiudadanoMX,"TQM, junio. 🌈

El orgullo se celebra este mes y todo el año. 

#PrideMonth2022
🧡💛💚💙💜 https://t.co/erDB67Vjxs"
2022-06-01 19:30:01+00:00,MovCiudadanoMX,"¡Qué Pech, #Chetumal! ¿Ya estás listo para recibir la alegría del @DrJLPech y Yuawi? Llevarán su buena vibra y pondrán en Movimiento a la gente. 😁🧡

Se va a poner buena la fiesta. 👇 https://t.co/zJKpjT4IOb"
2022-06-01 18:08:16+00:00,MovCiudadanoMX,"Amable recordatorio de que la única alianza que tiene Movimiento Ciudadano es con las y los ciudadanos. 🙌🧡 
No caeremos en la guerra sucia de siempre del PRIAN. Mejor #MételeCambio, #Durango, dejemos en el pasado la política de siempre con @MartinVivanco y @Paty_FloresE. 🍊 https://t.co/q6yEJG5dGk"
2022-06-01 17:07:06+00:00,MovCiudadanoMX,"¡Ey, #Tamaulipas!, ¿listo para tener un Gobierno entrón? 

Este 5 de junio toma las riendas y vota naranja por @Arturo10Gtz 🤠🍊, el mero bueno para recuperar la paz y darle alegría al estado. https://t.co/IGlyAEDp9C"
2022-06-01 15:30:28+00:00,MovCiudadanoMX,".@FcoXavierB es otra rola, no como los de siempre. 
#Hidalgo, súbele el volumen al Movimiento Naranja. 🍊  

Vota con optimismo por un mejor futuro, vota por Francisco Xavier, #ElCantante. 🎙🧡 https://t.co/CSrmZqn387"
2022-06-01 14:00:37+00:00,MovCiudadanoMX,"Amix de #Aguascalientes, claro que tienes alternativa, @AnayeliMunoz es la buena para que a tu familia le vaya mejor. 😊🧡

Este 5 de junio vota por alguien como tú, #VotaPorLaBuena. https://t.co/WF2Ac1LXYM"
2022-06-01 03:40:02+00:00,MovCiudadanoMX,"Aquí se sintió el calorcito rico y mucha emoción porque el próximo 5 de junio #QuintanaRoo será naranja. Chequen nomás el fiestón que se armó con el @DrJLPech y Yuawi en #Cancún. 😁🧡

#ElFuturoEsNaranja https://t.co/wTuLMbEmNC"
2022-06-01 03:03:07+00:00,MovCiudadanoMX,"¡Raza! Así de claro está que @Arturo10Gtz es el mero bueno para construir el TamauliPAZ que soñamos y echar pa delante al estado. 🤠

¡Este 5 de junio vamos a #ComenzarDeCero con Arturo y Movimiento Ciudadano! 🍊 https://t.co/Df3opI7ttM"
2022-06-01 01:41:46+00:00,MovCiudadanoMX,"Qué Pech, #QuintanaRoo, este 5 de junio el futuro del estado está en tus manos, elige un Gobierno decente con el @DrJLPech. 😁🧡

Checa este mensaje importante. 👇 https://t.co/IezY8752Ee"
2022-06-01 00:00:05+00:00,MovCiudadanoMX,"¿Te imaginas arriesgar la vida en la chamba sin un salario decente ni materiales de seguridad?

Esa es la realidad de los policías locales en 🇲🇽. 👇

Escucha #PalabrasEnMovimiento con la policía Adriana, el experto @dgtagle y @Pablo_VAh.

🔊: https://t.co/qUSh2FoiRv https://t.co/cpI15OwU9x"
2022-05-31 22:30:02+00:00,MovCiudadanoMX,Día 161. #DelRíoPresoPolítico https://t.co/zPdwEZFeBx
